review,label
Ennada trailer eh Mersal ah iruku,0
semma mokka onnume phriyala thalabathi trailor varuthu Peru bhigilu therikka poguthu thalabathi fan da,0
Bhigil pans.....Kaithi sunniya pudichi umbunge da,0
Kevelamana kevalam... al vijay sir ungaluku ellam eppadi udanudaney padam kedaikuthu...,0
Ennangada dai views 39kb like 43kb,0
"பொதுவாக மிஷ்கின sir, நல்ல நடிகர்களுக்கு மட்டுமே வாய்ப்பு கொடுப்பார்... udhanidhi,, அதை நிறைவேற்றுவாரா ?????",0
Selavechi asinga paduthunanga ippo padam eduthu asinga padutha poranga.. Aamam antha MGR padam enna achu?,0
"செங்குந்த முதலியார்  சார்பாக,,வெள்ளி விழா காண,,வாழ்த்துகிறேன்,,,,நாடக காதல் வெள்ளி திரை க்கு வருவது,,, வரவேற்க தக்கது,,, சாதியை ஒழிப்போம் என பொய்,,வேஷம் இட்டவர்கள்,,, இனி எதிர் நோக்கட்டும்,,உண்மையான,சாதி ஒழிப்பை,,,தமிழினத்தில்,,ஏற்ற தாழ்வு,,என்ற ஒன்று,,,இல்லை,,,தமிழ் குடிகள்,,அனைத்தும்,, ஒன்றே,,,,,",1
Yar ya intha woofer vaayan :v lol,0
Dey enga Da ... Namma makkalselvam dialogue eh kanom,0
Chiyan vikram sir's   heavy  trailer.....,1
அடேய் ஜாதி ஜாதி ஒரே   தேவுடியா படமா எடுகிறேக,0
Maranao massu maranao Tuffu tharano adhuku Thalaivar trailer utharanam,1
Trailer pathu veri aetha varavanga yaravathu..??!! Waitinggg,0
Kangna is so beautiful  girls,1
"காதலில் பெண்ணிற்கும் பாதி பங்கு இருக்கு. ஒரு குறிப்பிட்ட ஜாதியை சேர்ந்தவர்கள் ஆசையை காட்டி அப்பாவி பெண்களை ஏமாற்றி விடுகிறார்கள் என்று கூறுவது, பெண்களை இழிவு செய்வதாகவே நான் கருதுகிறேன். தான் காதளிப்பவர் குணத்தை ஆழமாக அரிந்து நடப்பது இரு பாலினத்தொரின் பொறுப்புமே!",0
வெறித்தனம் #namakhu thevaiyanatha namatha adhichu vangunu,0
Intha madri padam edukama enthiran kunthiran nu thalaivara kevala paduthuranunga padam na ithu thalaivar padam,0
Thalaivan Verothanam Start Panntaru...Indha Diwali Nammaldhu Thalaivaa,1
"Very poor ..similar to singam 2 .., masala itmasala  thts  it",0
"Deiiiiiii... Ennada panni vachirukkinga, kangana ranavat ku set ye agalayea da... Ada paavingala, nithya menon ku kooda konjam set aagume... Padam eduthu adi vanga poringa nu mattum theriyuthu...",0
முட்டா பசங்கள   நம்பல சுத்தி   எவ்வலவு  சிக்கல்  உள்ளது    டெய்  தமிழன் என்றாலே  பறையன்   மட்டும் தான்டா   இதில்இருந்து   பிற சாதி  பிறிந்து  சென்றன   முட்டாள்     மண் புழு  கூட  மண்ணுக்கு   உதவும்   சாதியும்  மதமும்   இல்ல,0
Outstanding bgm. Fast & Furious in Tamil.,1
Ennangada kgf bgm ha modify pannittingala,0
Wakeup anadhum teaser pathavangale like podunga,1
Dai ennada wow solla varthaiye illa,0
Sonathama sambarika theriyatha echa pasanga thana mel jathi ponungala kalayanam panipan video potan. Antha nathari nayungaluku intha padam samarpanam. Ithunala thaanda neengala inum apdiya irukinga,0
தமிழ்நாடு பார்க்கவ குல இளைஞர் அணி சார்பாக படம் மாபெரும் வெற்றியடைய வாழ்த்துக்கள்,1
Yarra paithiyam rajanikku yalra atikkurathu rajani arasiyalukku vanthu ennatha kilikka poran sollunga avanra mantaila mutiye Ella appuram arasiyalukku vanthu oru mairaium pulunga mutiyathu,0
"Karthik subburaj fans, hit the like button. Rajini mass",1
Vijay fan padam vetri para valzthukal,1
அடப்பாவிகளா அப்ப கூட அவன் அவன் ஜாதி பேர சொல்லி தான் வாழ்த்து சொல்லுவீங்களா...  போங்கடா டேய் நீங்களும் உங்க ஜாதி வெறியும் ...  ஒரு இந்தியானா ஒரு தமிழனா சொல்றேன்   இந்த படம் எந்த சமூகத்தையும் காய படுத்தாம வெற்றி அடைய வாழ்த்துக்கள்....,1
plzzz upload singam 3 video songs,1
bairavaa release date 1:00 enjoy :p,1
Vivegam padam vetri pera vazhthukkal by Thalapathy fan,1
mokka trailer da....ethuku than evalo scene aah...thuuu.....kevalam ethuku vedalamme paravala,0
Batman maathri irukku ana maranama irukku,0
ரஜினி சார் அரசியலுக்கு வருவது அவரது இஷ்டம்... இப்போ உங்களவே ஒரு படத்தில் நடிங்க... இல்ல தயாரிங்கனு சொன்னா எவ்வளவு யோசிப்பீங்க... அது போல தான் ரஜினி சாரும்... அடுத்தவங்கள விரல் நீட்டி குறை கூறும் போது ஒருவிரல் நம்மை காட்டும்.... தயவுசெய்து புரிஞ்சுக்கங்க...,1
thalaivar voice mattum konjam avaroda age kaatikodukuthungravanga like podunga,0
Verithanam ah irukku waiting fdfs thatra like ah,1
Dei neenga innum 1m like adikkalaya....adengappa....ha ha,1
"எவன்டா டைரக்டரு நயன்தாராவையும், ரஜினியையும் வச்சி செஞ்சிருக்கான்",0
ஏ உங்களுக்கு பா ரஞ்ஜீத் எடுத்த படங்கள் வெளிவரும் போதெல்லாம் கண்ணு தெரியலயோ மயிறுகளா திரௌபதி படம் வெளிவரலைனா திமுக காரனுங்கதானே புகார் அளிச்சுருக்கானுஙக அடுத்த எலக்சனுக்கு திமுக ஆட்சி கவிழும் கவிழ வைப்போம் முத்தரையர் சமுதாயத்தின் சார்பாகவும் கள்ளர் சமுதாயம் சார்பாகவும் வன்னியர் சமுதாயம் சார்பாகவும் எச்சரிக்கிரோம் ஏன்டா நாடக காதலால்  பாதிக்கபடுரவங்க நாங்கள்தான் அது எங்க உங்களுக்கு தெரிய போகுது நாங்கள் எங்கள் குடும்பத்தோட இந்த படத்தை கண்டிப்பாக பார்ப்போம் ஆதரிப்போம்,0
Come on guy's need 1million likes,1
Yaarum keela scroll pannirathinga like kettu oru kootam suthuthu,0
Power star srinavasan fans hit like here. ..,1
RIP Baahubali 2000 CRORE movie loading ............2⃣.0⃣,0
Dei Namma chinna vayasula oru eri la poi kulipom la.. vaa poitu varlama..?? Dei Namma athu mela nadanthunu irukom,0
டிசம்பர் மாதம் காஞ்சிபுரம் மாவட்டம் வாலாஜா அந்த ஊரு தலித் பொண்ணு name ரோஜா அந்த பொண்ண நாடக காதல் பண்ணி கொடூரமா கொலை பண்ணுன வன்னியர் ஜாதி தேவிடியா மொவன் இப்போ ஜெயிலில் இருக்கான்.... நாடக காதல் குரூப் வன்னியர் ஜாதி no1... வெக்கம் கெட்ட நாய்ங்கலே  த்து.....,0
padatha vida trailer semmaya irukunu feel pandravanga laamlike ah podu,1
"பாராளுமன்றம்  3 சீட்டுக்கு முட்டி போட்ட முதி , இப்ப சட்டமன்ற 5 சீட்டுக்கு இப்ப தான் வருது..",0
டிரைலர் மிகவும் அருமையாக உள்ளது சூர்யா ரசிகர்களின் சார்பாக திரெளபதி வெற்றி கரமாக அமையட்டும் மோகன் ஜீ அண்ணா,1
Ipdi neraya neraya neraya love you THALA..!!,1
"தமிழ் குடிகளுக்குள் பகையை வன்மத்தை வளர்க்கும் படம் , அதே திருமா - ராமதாஸ் நாடகக்காதல் கதை , இது உருபடறதுக்கான வழியாக தெரியவில்லை , தமிழர்களை மீண்டும் மீண்டும் சாதியாக பிளக்கவைக்கும் படம் , தமிழர்கள் சக மனிதர்கள் மீது சாதிய வன்மம் வளர்க்கும் இதுபோன்ற படத்தை ஆதரிக்காமல் கடந்து செல்ல வேண்டும் !",0
Hyo hyo evaingaluku ethu 2020 pariya comady padama vara valthukal pulingo padipanuga padicu pariya alla varuvanuga kkk bro but epdi oru padatha adthu avongla nasham panathinga,0
Part 2 eduthu yenya nalla padatha keduthu asingapaduringa part 2 edutha maximum padam flop than,0
Othaaa bgm la verithanam  Bangam daw dai...Diwali on rage soon,0
"வசனம் தெறிக்குது.. இது போதும் இந்த படத்துக்கு, மிச்சம் தானா சேரும் நம்ம செல்வராகவனுக்கு...",1
VarthayalaSola terla semmaya irukaaru surya anna,1
Unmaya sollanumna viswasam movie ya Vida bettera irukkum,0
"really crying from the heart,  oru pennal avamanan enbadhu endha oru nalla kudumbathallayum thaanga mudiyadhaa thuyaraam , naadaga kadhala enbadhu thitta mitta ina alipu, should be punished severely",1
Can this trailer be more sexist? தமிழ் நாட்டு பெண்கள் சார்பாக படம் நாசமாய் போக வாழ்த்துக்கள்.,0
first dialogue crt ah VJS suit aaguthunu soldravanga la like here,1
Ena da puli music potu bachi erukenga,0
very very..... waste ennava erundhalum namma vijay bro movie maathiri varuma,1
KRISH-4    HIT LIKE HERE,1
Cast rajini nu pathil vera yarachum pannirukalam,0
Thalaivaaa verithanam .........apdye chumma therikkavidra,0
Soori comedy panranu yedho pannitu irukan,0
Far better than Kaala and Kabali,1
தருமபுரி மாவட்ட தீரன் சின்னமலைகவுண்டர் பேரவை சார்பாக வாழ்த்துக்கள்,1
Inga neraya arivalikalukku teaserkum trailer kum different theriyama vaitherichala koovitu irukkanga,0
Maas THALA ........Ela charectarayum pinni edukrenga .....sema .....bravo bravo ....bravo ....,1
last dialouge ''unakku yaaravudhu palaya friend irukangal ......nambadha''semmmmma,1
"மரண மாஸ் சூர்யா அண்ணா  ஹாரிஸ் ஜெயராஜ் இசையில், கே வி ஆனந்த் இயக்கம் காத்திருப்போம் அண்ணனின் வெறித்தனத்தை பார்ப்பதற்கு",1
Rajnikanth fuck Hindi bitch aksey kumar,0
மண்ண தொட்டவன கூட விட்ரலாம். பொண்ண தொட்டவன விடக்கூடாது,1
Ennada bomma padam mathire irukku enna kandravi anim ithu,0
Surya semma mass.Marana waiting for S3 ...!!,1
Ipaditha enthiran la IROBOT ah apadiye copy adichan shankar.idula yanna Hollywood padamo,1
Indias pride ... Shankar Sir & Team...,1
@1:55 'dei evanukavathu pondati kulanthanu sentimentu kintimentu iruntha apdiye odi peyru' -Vi**vasam,0
நாடக காதல் மிகப்பெரிய தவறு. இதை தான் இந்த படம் எடுத்துரைக்கிறது. வெள்ளாள பிள்ளைமார் சார்பாக படம் வெற்றியடைய வாழ்த்துக்கள்,1
bro padam eppo release  trailer ennthene vatti paakurethu,0
Style Samrat  Super star   Petta the mass ippa ena panna porom sweet saptaporom vera level Thalaivaa...,1
Ivan ennada nadikaran orunmayirum illa comedyanukku poyee ippadi thooki vachu adrenga ivan oru nadiganu,0
neee thepavaliki thalapathy kuda vara namakida un  mass edipadathu mapulla,0
pathutte irukkan..... countless.....12.00 am la irundhu......thunga kuda illa......i love u thala.....,1
பதினாலுநாட்டு கள்ளர்கள் மற்றும் அனைத்து கள்ளர்கள் சார்பாக படம் வெற்றி பெற நல்வாழ்த்துக்கள்,1
Movie fulla comedy nalla erukum 🤗🤭,1
Kola gandula iruken...  Sathiyama soldren adichu thuvachuruven...  Thalaivaaaa we love uuuuuuu,0
thappu panitiya singaram ... nee thalaivana thotruka koodathu ...,0
Oatha antha scene ahla padathukku aaappu ippa remove pannratha producer solli irukkar potta payalugala,0
Trailer paka poren. RowThiram maari iruntha kandipa theatre,1
Enakku mattumtha ippudii kaatutha 102k views 140k likes how,0
Pride of Indian cinema  Lasta vasikaaran Akshay kumara marurar yarlam note paninga,0
வெள்ளார்கள் சார்பாக படம் வெற்றி பெற வாழ்த்துக்கள்....,1
Please kaappaanla niddippin nayagan suriya nu podunga ithu intha bros dream,1
Kadavule  Meena ponnu Future la vijay jodi ya nadikka koodathu .. (no More.. Anbulla Rajinikanth 2),0
"வயசான ஒருத்தர்மூணு கோடி டீசெர் விஎவ், அறுநூறு கோடி VASOOL ன்னு அல்லுராறு....விக் PATHI  இன்னும் விக் வச்சிக்கிட்டு  பழைய ரஜினிபடத்த கோப்பி அடிசிக்கின்னு....DIALOGUE  மட்டும் நல்லா டெலிவரி  பண்ணுவாரு ...",0
"OMG THIS IS RELEASED IN MAY 27, 2017 WHO HAVE WATCHED DHILUKKU DHUDU 2 PLS HIT LIKE",1
padam super hit a akruma idamathri 200 padam edupda,1
நல்ல படமாக அமைந்தது என்று என் மனம் கூறுகிறது.,1
paah vani bhojan looks so hot,1
Dr.anbumaninnu solringalla avane sc kottavulathanda padichi vanthan...............,0
அண்ணா மோகன் அவர்களுக்கு மூன்று கோடி  வன்னிய இளைஞர்கள் நாங்கள் இருக்கிறோம் அண்ணன் மோகன் அவர்களுக்கு மூன்று கோடி வன்னிய இளைஞர்கள் நாங்கள் இருக்கிறோம் உங்கள் பின்னாடி வாழ்த்துக்கள் அண்ணா வாழ்த்துக்கள்,1
Ore Katcha mucha nu irukku .... Ana nalla irukku ...,1
Thelivaaa marana mass ah iruku,1
Bigil la maraikka patta kathir oda back story uh,1
"10million views in 22 days thalaiivaaaa,..",1
Omg marana mass lokesh sir we r waiting thalapathy 64.......,1
Vera level Thalaiva  neenga mela varadu I'm like 🦁 movie HIT: LIKE AVARAGE: COMMENT,1
செங்குந்தர்  இன சமுதாய மக்கள் சார்பாக திரைபடம் வெற்றி பெற வாழ்த்துக்கள்..,1
துப்பாக்கி கத்தி சர்கார் சேர்ந்த கலவை காப்பான்,1
522K likes  78K left for 600K likes,1
Ranjith thevdiya payale neyellam ennada padam edutha...,0
Semma kaalai Da Rajini kku Periya aappu,0
Comedy ya erukku ithukku billa pandi ok,0
Draupadi padam oru scenes koda cut aka kutathu  Veera Vanniyar Salem,1
காட்சிகள் அனைத்தும் தாழ்த்தப்பட்ட மக்களை அவமானப்படுத்துவது போல் உள்ளது.,1
NGK trailer paakumbothu ntk nyabagam thà varuthu,0
mass bairava teaser varlam vaa thalaiva,1
Thalaveriyan solren... Semma mass.. Viswasam elithi vachukonga viswasam trailor ithoda mass ah irukum,0
Suryaaaaaaa   Mass +action +drama      Pakkaaaaaaa blockbuster movie  Like for surya,1
"U1, Thala combo innum neraya, neraya, neraya,neraya, neraya, neraya iruku.🤗🤗🤗🤗🤗🤗🤗🤗🤗🤗",1
Andha 1:55 min la varra dialogue uhh dislike pandra anils kku correctahh porundhudhu,0
அய்யா A P J Abdul Kalam Avargale intha Tamilnadu la 2020 illa innum 3000 vanthaalum thiruintha maataanuinga inum Jaathi Jaathi nu solli intha generationium infect panraanuinga tamizhum jaathium onnru illai enratha epa thaan purinjika pooraanuinga loo intha maari director iku laam kadumaiyaana  thandanai tharanum,0
Ajith rasigargal pala beru vedhalam padam parthu tharkolaiiiii,0
Konjam overa thaan poromo Povum enanaa paniduvanga,0
ஜாதிகள் இல்லையடி பாப்பா \r \r இட ஒதுக்கீடு மட்டும் வாங்குவம் பாப்பா,1
2:00  Appo saithyama nee kadayadhu,0
intha mokka hero ku.  action king ah..... ayyo  enna kodumai sir........... hero nu title vere,0
Ennaya Beethoven music uh apudiye aataya pottu vachi irukaanga!  Aanmai prachanayo,0
Endha kuruma group olunga eru theva illama coment panatha pana ne apti coment panuna ne oru appanuku poratha thapa coment panatha apti panumna ne oru appanuku poradhu eruthina nunera kotudhu coment pannu,0
Innum neraiya neraiya neraiya neraiya neraiya neraiya neraiya cmt and views,1
Adae apdiye remake pannirukalaam la da yen da theva illama mass elements laam add panni story ah spoil panringa,1
Trailera pathu mudikkum pothu en kannu kalangi irunthuchu what a dedication thala,1
ரஜினியிடம் மன்னிப்பு கேட்கும் நிலை கண்டிப்பாக வரும்,0
Mark My Words ஏன் டயலாக்தான் சூர்யா படத்துல சொல்லி இருக்கா அப்படி என்ன தமிழ் நாட்டுல ஒருத்தன் கதறுவான் பாருங்கள்,0
செம ட்ரைலர்......வாணியர் சமூகத்தின் சார்பாக வெற்றி பெற வாழ்த்துகள்....,1
"Kaithiye ippadi irukuna,thalapathy 64 eppadi irukuna.VERITHANAMA IRUKUM",0
"Sudhandhiram Britishkaran kitta vangi arasiyalvadhinga kaila kuduthutom, super dialogue",1
கொங்கு வேளாள கவுண்டர்கள் சார்பாக திரௌபதி மாபெரும் வெற்றி அடைய வாழ்த்துக்கள்..,1
தமிழ்நாட்டில் இருக்கும் அத்தனை சமுக மக்களின் குரலும் ஆதரவும். அப்படியானால் அம்பேத்கர் பெயரில் அரசியல்?? பொய்?!?!?,1
Andha amma vah ethana dhadava da saagadipinga,0
Seems a bit like Phantom  namma avana adikradhu indha ulagathuku yen avanuke theriya koodadhu,0
Suyama senthika therichava dha super hero. 90's kids kana oru padam.,0
Kerala Thala Ajith Fan A big Fan,1
Namaku thevaiyanathu  awards🤘 namba tha adichi  vanganum,0
marana massss thalapathy theriiiiiiiiiiiiiiiiiii sama masss engal anna vijay super star... by. un anbu thambi sheik......,1
Nanba rangaraj pandey unnai velli thiraiyil kanpatharku aavalootu ĶHATHU irukkireen pls nanba    Neer konda paarvai,1
இந்த மாதிரி படத்துக்குதா wait pannikittu irukkkom........,1
Gommala marana kaatu kaatitan trailer la ye,0
Thalaiva unge style ku nanga Adimai,1
Super padam rajini sir trailare ippadi athirutunna parameter eppadi irukkum,1
Ajith sir Yuvan combo ku wait panravakala like here,1
"வேளாளர் (வேளாள கவுண்டர்,வேளாள முதலியார்,வேளாள பிள்ளை ) சமூதாயம் சார்பாக வாழ்த்துக்கள்..",1
Trending in sri lanka.. I am very happy. Hit like..,1
Dai idhallam massnnu solli asingapadutthadhingada... Idhu edho serial madhiri theriyuthu..,0
Thalaivar masss ah irukarupa nu sonnavangala hit likes,1
Kaithi vera level movie    Ethu semaya eruku   Ana   Namma Anil movie Enna akapoguthu nu theriyala ya,0
"Movie script super, athuvum HIP HOP Tamizha music vera",1
Apdi ellam nadakaathu.nadakavum koodathu...mass thala...justice for victims,1
Intha Diwali BIGIL Diwali dan  Theriya vendiyathu eilla  Ketkalaaaa Sathamaaaaaa  Podra vettu intha Diwali BIGIL Diwali,0
Ethukkuda ivlo actors hypo....thalaivar padamna avar matumtha  irukanum...,0
Suriya mohanlal ariya combo pedichava yarulam,1
60K views but 137K likes???? Puriyalae,0
டெல்டா மாவட்டம் முக்குலத்தோர் மக்கள் சார்பாக வாழ்த்துகள் மாபெரும் காவியம் ஆகும் 2020 திரெளபதி திரைப்படம்,1
6 manikulla 5 M views varanum,1
same shit again and again and again......,0
என்னடா பண்ணி வச்சிருகிக என் தலைவியை.... face பார்த்தால் நக்மா மாதிரி இருக்கு.....,0
Summa therika vittu irukanga... Love u surya,1
konjam overa irukku thala.. paravala ana,1
loosu punda mari irukda   ajithu punda     siva,0
Kongku velalar sarpaga padam win panna my wises,1
First paakurappo enna ivlo thaana nu thonuchu...but teaser paakka paakka romba pidikkuthu... music and voice laam semaya irukku.....,1
Yo enna ya likes ennum pathala,0
205k likes suma alludhu thalapathy,1
Appan mundai payen Elam summa vikram only king,0
Last dialogue kettuttu poi thooku Matti thongungada🤨,0
வானைத் தொட்டது வேள்வித்தீ! வேள்வியில் உதித்தாள் பெண்ணொருத்தி! பெண்குலம் போற்றும் பத்தினித்தீ! அவளது நாமம் திரௌபதி! தலைவிரித்தாடும் அதர்மத்தை தரைமட்டமாக்கிட அவதரித்தாள்!  திரெளபதி படத்திற்காக ஆவலுடன் காத்துகொண்டு இருக்கிறோம்  @mohandreamer இப்படம் வெற்றியடைய வாழ்த்துக்கள் அண்ணா,1
THAALEE VERA LEVEL. ANTHA PUNDAI VIJAY POGA SOLLUNGA!!!,0
கும்பகோணம் பாட்டாளி மக்கள் கட்சி மற்றும் ஒட்டுமொத்த வன்னியர்களின் சார்பாக வாழ்த்துக்கள் பல்... இதுபோன்ற படங்கள் எடுப்பதற்கு தனி தைரியம் வேண்டும் அது திரு.மோகன் ஜி அவர்களுக்கு உள்ளதை கண்டு பெருமை கொள்கிறேன்... #இதுதான்_சத்திரிய_லட்சனம்,1
Mia Khalifa fans like here,1
Dea endha jadhe erundhahum personality etukkuda,0
Kaithi trailer yen trending la varala,0
Oh my goodness teaser la மக்கள் செல்வன்,1
Serial Mathiri irukku padam plappu than,0
"போடா போடா ஜாதி படம் எடுத்து௫க்கிங்க...  ரஞ்சித்தை பார்த்து கற்றுக்கொள் புரட்சி படம் எடுக்க...  என்று நகர்ந்தார், அந்த நீல சட்டை அணிந்த சரக்கு மிடுக்கு மற்றும் ஜெய் பீம் தோழர்.",1
Semma gandle irukke mavena kollame vidamatte super thalaivare,0
20k views ... 105k likes 12k unlikes... go home youtube. u r drunk,1
"Indha vandhuttanunga la marubadiyum Porattam , Jaadhi ozhippu ,Maanavargal kootam nu concept ah thookitu  Trailer eh skip panni skip pani paaka vechitanunga ...idhuku naadodigal 1 eh re-release pannalam",0
தலைவா நீங்க ஈரோவா ஆயிடிங்க ரொம்ப சந்தோசம் ஆனா உங்க அளவுக்கு காமடியை யாருலும் பன்ன முடியாது உங்க காமடியை அவ்வளவு மிஸ் பன்னுவதாக நினைக்கிறேன் இப்ப தமிழ் சினிமாவுல எத்தனையோ காமிடியன்கள் இருக்கிறார்கள் எல்லாம் மொக்க பீஸ்ங்க நீங்கதான் அப்பபாட்டக்கர்.......,1
He is field out vels u money uuuuuuu🤣,0
Marana mass trailer... Anna katta waiting 🤩🤩🤩,1
"TSK=NGK=KAAPPAN,,.  Look like same story plot",0
"சிவகங்கை மாவட்டம் செட்டியார், கள்ளர், மறவர், தேவர் சமூகம் சார்பாக திரௌபதி படம் வெற்றி பெற வாழ்த்துக்கள்",1
Oru reality kedaikala VFX not good,0
Odatha padathuku ethukyda ivlo build up? Inga saathi support pandra thaayoligal oruthan kuda theater ku pomatan  Pollachi case la matunavan ena dalit ah? Mudinja avanugala vetungada pakalam potta saathi veri thaaiyoligala ilana podavaya katindu orama ukarungo,0
Orutharmela neenga viswasatha katradhukaga inoruthara en asinga paduthureenga!! . #veralvlthala,1
Intha vati powder konjam adhigama pocha....,0
Any one after Sirikki Promo...,0
Kotha gopala Krishna Naidu thevidiyapaya anda vantha naye,0
Trending la enga da kanom podunga da  trailera,0
Dislikers please step back  2K19 #Kaithi  Diwali,0
Can i get 2k like for vikram sir,1
Thala veriyan mass fans like here,1
Nanga late ahh vandhalum latest ah varuvom,1
Infinity times pathavi nga maatum like podunga,1
Rajini siripa vida sethupathy siripu vera level thalaivan sethupathy,0
"Loosu Pundaigalaa unga Droupadikku, enga Maari Selvaraj’s Karnan varudhu daaw...!!    jaadhi veri pundaigalaa..!",0
40 Vayasula  30 vayasu paiyan mari nadichi irukinga Thalaiva.,1
"வெற்றி பெற வைப்போம்,,, இட ஒதுக்கீடு வேண்டும், ஆனால் ஜாதிய ஒழிக்க கலப்பு காதல் செய்து ஒரு குடும்பத்தோட கனவ கெடுத்து அந்த பொண்ணோட வாழ்க்கையையும் கெடுத்து குட்டிச்சுவராக்கனும் என்னங்கடா உங்க விசிக த்தனம் அட பதருகளா.........",1
Intha maari padatha namaku trend panna thuppu ila.. bigil mari kaevalama maana padatha trend pannuvom,1
